wavelength (nm),blank,popc
800.0154419,0.138045773,0.172367171
799.0119019,0.138065234,0.172207445
798.0079346,0.138211221,0.17259264
797.0036011,0.138794214,0.172786698
795.9988403,0.138292655,0.172868088
794.9936523,0.137992099,0.172460422
793.9880981,0.137509182,0.172968194
793.0167847,0.138332367,0.172908053
792.010437,0.137704849,0.173140392
791.0036011,0.138457403,0.172868282
789.9963989,0.138991743,0.173598483
788.9888916,0.138817281,0.173542664
788.015686,0.138085619,0.173333541
787.0073242,0.138362303,0.173230141
785.9985352,0.138053566,0.173678532
784.9893799,0.138047874,0.17391263
784.0146484,0.138218299,0.173380226
783.0047607,0.137732863,0.173827335
781.9943848,0.137788132,0.174280703
780.9836426,0.138156593,0.173878595
780.0073853,0.137811527,0.174039289
778.9959106,0.138191536,0.174818009
777.9840088,0.137963608,0.17476888
777.0065918,0.137790442,0.173793688
775.9938965,0.137725174,0.174108043
775.0158081,0.137355447,0.174603969
774.0023804,0.13763991,0.174150765
772.9885254,0.137493163,0.17443943
772.0092163,0.137205243,0.174575716
770.9946899,0.137151241,0.174348459
770.0146484,0.136574522,0.174309626
768.9992676,0.136750177,0.174063608
767.9835205,0.136097819,0.173221424
767.0024414,0.135548875,0.173356488
765.9859009,0.13348569,0.171828389
765.0040894,0.138847172,0.176867396
763.9868164,0.137425199,0.175738394
763.0041504,0.136356905,0.174890608
761.986084,0.136342868,0.174816847
761.0028076,0.135780633,0.174476758
759.9840088,0.135359019,0.173886627
758.999939,0.135368839,0.174033374
758.015564,0.134790391,0.173882693
756.9956055,0.134214252,0.173602119
756.010437,0.134196058,0.173772216
754.9898071,0.134174436,0.173985392
754.0039063,0.134264603,0.173839584
752.9824829,0.133707017,0.173642188
751.9959106,0.133468062,0.172960401
751.0089722,0.133137479,0.17305027
749.9863892,0.133376867,0.173362896
748.9987793,0.132583872,0.173361048
748.0107422,0.132481381,0.17285721
746.9871216,0.132124648,0.172447175
745.9983521,0.131130233,0.17203784
745.0092773,0.130931526,0.172044963
743.9845581,0.130618155,0.171862468
742.9946899,0.130431607,0.171503887
742.0045166,0.129851341,0.170950785
741.0140381,0.129344091,0.170617729
739.987793,0.129074201,0.170476303
738.996582,0.128545955,0.170047566
738.0050659,0.127795562,0.169650152
737.0131226,0.126698256,0.168616951
735.9854736,0.125682443,0.167913377
734.9927979,0.126046166,0.168434426
733.9998779,0.125743851,0.168226749
733.0065918,0.124750882,0.167419747
732.0128784,0.124028266,0.167003557
730.9833984,0.123741522,0.166757718
729.9890137,0.12303979,0.166095555
728.9943237,0.123516269,0.166409254
727.9992676,0.122385413,0.165920675
727.0039063,0.122010812,0.165587127
726.0081787,0.121646166,0.165588379
725.0120239,0.121594578,0.165860549
724.015686,0.121439971,0.165704399
722.9832764,0.121637292,0.165743262
721.986145,0.121418811,0.16616489
720.9887085,0.12182682,0.166396081
719.9909058,0.121631123,0.166360691
718.9927979,0.121585399,0.166575462
717.9943237,0.12232592,0.167721838
716.9954834,0.124762163,0.169758543
715.9963379,0.124948226,0.169978559
714.9968262,0.125415131,0.171363369
713.9970093,0.125615329,0.171171293
712.9968262,0.126649544,0.17249997
711.9963379,0.127203092,0.173089713
710.9954834,0.127721161,0.173875615
709.9943237,0.128429949,0.174866289
708.9927979,0.1295802,0.176176876
707.9910278,0.130375236,0.176868171
706.9887695,0.130984366,0.177793965
705.9862671,0.131311029,0.178219691
704.9833984,0.131938115,0.179105252
704.0160522,0.131771013,0.179532036
703.0125732,0.131762594,0.179583862
702.0087891,0.131903872,0.180042625
701.0045776,0.132497147,0.180783123
700.0001221,0.139389455,0.187147155
698.9952393,0.139916837,0.187768519
697.9900513,0.138926014,0.18706061
696.9846191,0.138604656,0.186885357
696.0147095,0.138402849,0.187636986
695.008606,0.138756484,0.187734127
694.0020752,0.139031246,0.187782228
692.9954224,0.139337644,0.188635573
691.9882202,0.139564559,0.189432323
691.0167847,0.140463293,0.189819038
690.0090332,0.14048408,0.190229684
689.0009155,0.140272096,0.190865636
687.9925537,0.140893295,0.191176251
686.9838257,0.140815377,0.191701427
686.0108032,0.140869722,0.191901758
685.0014038,0.140429914,0.191894755
683.9918213,0.140399665,0.191866532
683.0178223,0.140148044,0.192116648
682.0075073,0.141123444,0.192985371
680.9968262,0.143950224,0.195509106
679.9858398,0.143437132,0.194987774
679.0106812,0.142820925,0.195197493
677.9990845,0.143100396,0.19511351
676.9871826,0.143066168,0.195248291
676.0111084,0.142610759,0.195626497
674.9985352,0.142542169,0.195896149
673.9857178,0.142828837,0.196063787
673.008728,0.142678201,0.196105629
671.9951782,0.142134592,0.19640474
671.0176392,0.142336235,0.196326703
670.003479,0.143050984,0.197361037
668.9890747,0.142506272,0.196485877
668.0105591,0.141639128,0.196445465
666.9954834,0.141272456,0.196089238
666.0163574,0.141051874,0.195988014
665.0007324,0.140551582,0.195752919
663.9848022,0.139727652,0.195385158
663.0047607,0.139393985,0.195306212
661.9881592,0.13832368,0.194741786
661.0075684,0.139707506,0.196141318
659.9903564,0.143797398,0.199682519
659.0091553,0.142234832,0.199200213
657.991394,0.14175567,0.198229119
657.0096436,0.140942663,0.19819288
655.9911499,0.140628517,0.197892651
655.0088501,0.140097901,0.197878853
653.9898071,0.140161097,0.19809635
653.0068359,0.140487969,0.198935509
651.9871826,0.140674323,0.199237317
651.0036621,0.141036794,0.199302271
649.9834595,0.140421584,0.199325994
648.9992676,0.140293986,0.199825004
648.0149536,0.140335754,0.199757993
646.9937744,0.140228272,0.199776128
646.0087891,0.140291631,0.199946076
644.9871216,0.139940605,0.200413033
644.0015259,0.139819071,0.200459153
643.015686,0.139735505,0.200661019
641.993103,0.139804959,0.201061487
641.0065918,0.139438167,0.200974554
639.9833984,0.139871612,0.20150201
638.99646,0.139113978,0.201134369
638.0091553,0.139701083,0.201958612
636.9851074,0.13917014,0.201530382
635.9971924,0.138276741,0.201396018
635.0090942,0.140961438,0.203358442
633.9841309,0.140324265,0.203085363
632.9954834,0.13955617,0.203136563
632.0064697,0.13908498,0.202545077
631.017334,0.13928096,0.203144491
